src,tgt
"इब्राहीमः सन्तानो दायूद् तस्य सन्तानो यीशुख्रीष्टस्तस्य पूर्व्वपुरुषवंशश्रेणी।
","""The book of the generation of Jesus Christ, the son of David, the son of Abraham.""
"
"इब्राहीमः पुत्र इस्हाक् तस्य पुत्रो याकूब् तस्य पुत्रो यिहूदास्तस्य भ्रातरश्च।
","Abraham begat Isaac; and Isaac begat Jacob; and Jacob begat Judas and his brethren;
"
"""तस्माद् यिहूदातस्तामरो गर्भे पेरस्सेरहौ जज्ञाते, तस्य पेरसः पुत्रो हिष्रोण् तस्य पुत्रो ऽराम्।""
","And Judas begat Phares and Zara of Thamar; and Phares begat Esrom; and Esrom begat Aram;
"
"तस्य पुत्रो ऽम्मीनादब् तस्य पुत्रो नहशोन् तस्य पुत्रः सल्मोन्।
","And Aram begat Aminadab; and Aminadab begat Naasson; and Naasson begat Salmon;
"
"""तस्माद् राहबो गर्भे बोयम् जज्ञे, तस्माद् रूतो गर्भे ओबेद् जज्ञे, तस्य पुत्रो यिशयः।""
","And Salmon begat Booz of Rachab; and Booz begat Obed of Ruth; and Obed begat Jesse;
"
"तस्य पुत्रो दायूद् राजः तस्माद् मृतोरियस्य जायायां सुलेमान् जज्ञे।
","And Jesse begat David the king; and David the king begat Solomon of her that had been the wife of Urias;
"
"""तस्य पुत्रो रिहबियाम्, तस्य पुत्रोऽबियः, तस्य पुत्र आसा:।""
","And Solomon begat Roboam; and Roboam begat Abia; and Abia begat Asa;
"
"तस्य सुतो यिहोशाफट् तस्य सुतो यिहोराम तस्य सुत उषियः।
","And Asa begat Josaphat; and Josaphat begat Joram; and Joram begat Ozias;
"
"तस्य सुतो योथम् तस्य सुत आहम् तस्य सुतो हिष्कियः।
","And Ozias begat Joatham; and Joatham begat Achaz; and Achaz begat Ezekias;
"
"""तस्य सुतो मिनशिः, तस्य सुत आमोन् तस्य सुतो योशियः।""
","And Ezekias begat Manasses; and Manasses begat Amon; and Amon begat Josias;
"
"बाबिल्नगरे प्रवसनात् पूर्व्वं स योशियो यिखनियं तस्य भ्रातृंश्च जनयामास।
","""And Josias begat Jechonias and his brethren, about the time they were carried away to Babylon:""
"
"""ततो बाबिलि प्रवसनकाले यिखनियः शल्तीयेलं जनयामास, तस्य सुतः सिरुब्बाविल्।""
","""And after they were brought to Babylon, Jechonias begat Salathiel; and Salathiel begat Zorobabel;""
"
"तस्य सुतो ऽबोहुद् तस्य सुत इलीयाकीम् तस्य सुतोऽसोर्।
","And Zorobabel begat Abiud; and Abiud begat Eliakim; and Eliakim begat Azor;
"
"असोरः सुतः सादोक् तस्य सुत आखीम् तस्य सुत इलीहूद्।
","And Azor begat Sadoc; and Sadoc begat Achim; and Achim begat Eliud;
"
"तस्य सुत इलियासर् तस्य सुतो मत्तन्।
","And Eliud begat Eleazar; and Eleazar begat Matthan; and Matthan begat Jacob;
"
"""तस्य सुतो याकूब् तस्य सुतो यूषफ् तस्य जाया मरियम्; तस्य गर्भे यीशुरजनि, तमेव ख्रीष्टम् (अर्थाद् अभिषिक्तं) वदन्ति।""
","""And Jacob begat Joseph the husband of Mary, of whom was born Jesus, who is called Christ.""
"
