src,tgt
"""मम प्रियाः देशवासिनः नमस्कार।""
","""My  dear countrymen, Namaskar.""
"
"लकडाउनकाले 'मन की बात' इत्यस्य अस्मिन् प्रकरणे भवन्तः सर्वे ट्यून् कृताः सन्ति।
","All of you are tuned into this episode of  ‘Mann Ki Baat ‘during the lockdown.
"
"अस्य प्रकरणस्य सुझावस्य, दूरभाषस्य च संख्या सामान्यतः बहुगुणा अस्ति ।
","The number of suggestions and phone  calls for this episode is many times the usual.
"
"""भवतः हृदयस्य समीपस्थाः विषयाः; भवतः स्वकीयः मन् कि बाट्, अनेकाः मुद्देः समाविष्टाः, मम कृते गतः।""
","""Matters close to your  heart; your own Mann Ki Baat, comprising a number of issues has reached  out to me.""
"
"""मया यथाशक्ति तानि पठितुं, शृणुत इति प्रयत्नः कृतः।""
","""I’ve tried to the best possible extent to read them, listen  to them.""
"
"अस्मिन् आवश्यकताप्रकोपस्य क्रमेण केचन पक्षाः ज्ञाताः ये न लक्ष्यन्ते ।
","One has come to know of certain aspects which do not get  noticed during the course of this flurry of exigencies.
"
"""अहं तान् कतिपयान् पक्षान् स्पृशितुं, अस्माकं देशवासिना सह साझां कर्तुम् इच्छामि, अस्मिन् 'मन् की बाट्' इत्यस्मिन्, यत् युद्धस्य मध्ये भवति।""
","""I wish to touch  upon and share a few of those aspects with our countrymen in this ‘Mann  ki Baat’, taking place amidst a battle.""
"
"""मित्राः, भारतस्य कोरोना-विरुद्धं युद्धं जन-प्रेरितम् अस्ति, यथार्थतः अर्थे।""
","""Friends,  India’s fight against Corona is people-driven, in the truest sense of  the term.""
"
"""भारते जनाः एव कोरोना-विरुद्धं युद्धं कुर्वन्ति; भवन्तः एव युद्धं कुर्वन्ति .....जनैः सह, सर्वकारः, प्रशासनं च युद्धं कुर्वन्ति।""
","""In India it is the people who are fighting the Corona; it is  you who are putting up a fight …..along with the people, the government  and the administration are fighting as well.""
"
"""भारतसदृशः विशालः देशः विकासमार्गे सक्रियप्रयासेन दारिद्र्यविरुद्धं निर्णायकं युद्धं कुर्वन् अस्ति।""
","""A vast country such as  India, with its proactive endeavor on the path of development is  fighting a decisive battle against poverty.""
"
"कोरोना-विरुद्धं युद्धं कर्तुं तस्य विजयाय च एतत् एकमेव माध्यमम् अस्ति ।
","This is the only medium it  possesses to fight the Corona and triumph over it.
"
"""वयं च सौभाग्यशालिनः यत् अद्य समग्रः देशः; देशस्य प्रत्येकं नागरिकः; प्रत्येकं व्यक्तिः अस्मिन् युद्धे सैनिकः अस्ति; न, युद्धस्य नेतृत्वं करोति।
","""And we are fortunate  that today the whole country; each and every citizen of the country;  every person is a soldier in this battle; nay, leading the battle.""
"
"""भविष्यत्काले यदा पश्चात्तापेन तस्य विषये निवसितं भविष्यति; यदा मार्गाः साधनानि च चिन्तितानि भविष्यन्ति तदा भारतस्य जनप्रेरिता युद्धम् अपि स्पृष्टं भविष्यति इति मम विश्वासः अस्ति।
","""In future when it will be dwelt upon in  hindsight; when ways and means will be reflected upon, I do believe that  India’s people driven fight will also be touched upon.""
"
"""अद्य प्रत्येकं स्थाने, समीपस्थमार्गेषु, जनाः परस्परं साहाय्यार्थं अग्रे आगताः।""
","""Today at each  and every place, in neighbourhood lanes, people have come forward to  help each other.""
"
"""विपन्नजनानाम् भोजनात् आरभ्य, राशनस्य व्यवस्थां कर्तुं, तालाबन्दी सुनिश्चितं कर्तुं, चिकित्सालयेषु व्यवस्थापनात् आरभ्य स्वदेशीयरूपेण चिकित्सासाधनानाम् निर्माणं यावत्...समग्रः देशः एकत्र एकस्मिन् दिशि, एकस्यैव साधारणस्य उद्देश्यस्य दिशि अग्रे गच्छति।
","""From food for the underprivileged, arranging rations,  ensuring lockdown, arrangements in hospitals to manufacturing medical  equipments indigenously…the entire country is marching ahead together in  the same direction, towards a single common objective.""
"
"""महानगरात् ग्रामपर्यन्तं अस्माकं राष्ट्रिय-आचारस्य क्षेत्रे यत्र प्रत्येकः व्यक्तिः योगदानं दातुं उत्सुकः भवति तत्र 'महायज्ञः' इति रूपेण दृश्यते।""
","""From metropolises to villages, it comes across as a  ’Mahayagya’ being performed in the realm of our national ethos where  every individual is eager to contribute.""
"
"""एकः प्रकरणः अस्माकं कृषकाः भ्रातरः भगिन्यः च सन्ति – एकतः , ते महामारीयाः प्रकोपस्य मध्यं दिवारात्रौ परिश्रमं कुर्वन्ति; अपरतः देशे कोऽपि क्षुधार्तः शयनं न करोति इति सुनिश्चित्य यथायोग्यं चिन्तां प्रदर्शयन्ति।
","""A case in point are our farmer  brothers and sisters – on the one hand , they are toiling day and night  amidst the scourge of the pandemic; on the other displaying due concern  to ensure that none in the country goes to bed hungry.""
"
"""सर्वः युद्धं स्थापयति, यथा स्वस्य सामर्थ्यं सामर्थ्यं च।""
","""Everyone is  putting up a fight, as per one’s capacity and ability.""
"
"केचन सन्ति ये किरायां माफं कुर्वन्ति; अन्ये पुरस्कारस्य पेन्शनस्य च माध्यमेन प्राप्तानि सम्पूर्णराशिः PM CARES इत्यत्र निक्षेपयन्ति।
","There are some  who are waiving off rent; there are others depositing entire amounts  received through prizes and pension in PM CARES.
"
"केचन कृषिक्षेत्रेषु उत्पादितानि शाकानि दानं कुर्वन्ति; अन्ये अण्डर विशेषाधिकारप्राप्तानाम् एकां समूहं पोषयन्ति।
","Some are donating  vegetables grown on farms; others are feeding a multitude of the under  privileged.
"
"""केचन मुखौटं निर्मान्ति; स्थाने स्थाने अस्माकं निर्माणकर्मचारिणः स्वस्य क्वारेन्टाइन-वासार्थं उद्दिष्टानि विद्यालयानि श्वेतवर्णं कुर्वन्ति, चित्रं च कुर्वन्ति।""
","""Some are making masks; at places, our construction workers  are whitewashing and painting schools meant for their quarantine stay.""
"
"""अस्माभिः च अस्माकं देशे अन्तिमेषु वर्षेषु दृष्टम्, एषः परोपकारी मनसः झुकावः बलं प्राप्नोति...एतत् कोटि-कोटि-जनानाम् गैस-सहायता-त्यागस्य, रेल-सहायता-परित्यागस्य लक्षशः वरिष्ठ-नागरिकाणां, 'स्वच्छ-भारत-अभियानस्य' नेतृत्वस्य रूपेण भवितुम् अर्हति ' अथवा शौचालयस्य निर्माणं कृत्वा ...असंख्यानि उदाहरणानि सन्ति।""
","""And we have seen in recent years in our  country, this altruistic bent of mind is gaining strength…it could be in  the form of crores of people giving up Gas Subsidy, lakhs of senior  citizen leaving Railway Subsidy, leading the ‘Swachcha Bharat Abhiyan’  or getting toilets constructed …there are innumerable examples.""
"
